maNL,tenNL,xuatXu,maDVT,soLuong,donGia,ngaySanXuat,hanSuDung
0,Bột mì số 8,Việt Nam,5,50.0,25000,2025-03-01,2027-03-01
0,Đường cát trắng,Việt Nam,5,30.0,18000,2025-04-01,2027-04-01
0,Bơ lạt Anchor,New Zealand,4,500.0,240,2025-01-15,2027-01-15
0,Sữa tươi không đường,Việt Nam,24,2000.0,35,2026-05-01,2026-07-01
0,Trứng gà tươi,Việt Nam,1,100.0,4500,,2026-06-15
0,Bột nở (Baking Powder),Mỹ,4,200.0,425,2025-06-01,2026-06-01
0,Vani chiết xuất,Pháp,24,500.0,720,2025-01-01,2027-01-01
0,Cacao nguyên chất,Bỉ,5,8.0,210000,2025-02-01,2026-08-01
0,Phô mai cream cheese,Úc,4,500.0,350,2025-05-01,2029-02-01
0,Hạt hạnh nhân,Mỹ,5,4.0,320000,2025-03-01,2027-03-01
0,Kem tươi (Whipping Cream),Pháp,24,1000.0,85,2026-05-01,2026-08-01
0,Sô cô la đen 70%,Bỉ,4,500.0,380,2025-08-01,2027-08-01
0,Dầu thực vật,Việt Nam,24,2000.0,42,2025-10-01,2027-01-01
0,Đường bột,Việt Nam,5,5.0,22000,2025-04-01,2027-04-01
0,Muối biển,Việt Nam,4,500.0,10,,2030-01-01
0,Gelatin lá,Đức,4,100.0,1200,2025-01-01,2027-01-01
0,Nước cốt dừa,Thái Lan,24,800.0,55,2025-06-01,2027-06-01
0,Men nở (Instant Yeast),Pháp,4,100.0,850,2025-09-01,2026-09-01
